nama_jurnal,url,sinta_grade,subject_area
Biomedika,http://journals.ums.ac.id/index.php/biomedika,3,"Health, Science"
Journal of Medicine and Health,https://journal.maranatha.edu/index.php/jmh,3,"Health, Science"
Jurnal Pendidikan Matematika dan IPA,http://jurnal.untan.ac.id/index.php/PMP,3,"Science, Education, Agriculture"
Food Scientia: Journal of Food Science and Technology,http://jurnal.ut.ac.id/index.php/foodscientia,3,Science
Jurnal Manajemen Universitas Bung Hatta,https://ejurnal.bunghatta.ac.id/index.php/JMN,3,"Economy, Humanities, Science"
Jurnal Farmasi Galenika (Galenika Journal of Pharmacy),https://bestjournal.untad.ac.id/index.php/Galenika,3,"Health, Science"
Jurnal Keterapian Fisik,http://jurnalketerapianfisik.com,3,"Health, Science"
Jurnal Kimia Terapan Indonesia (Indonesian Journal of Applied Chemistry),http://inajac.lipi.go.id/index.php/InaJAC,3,"Science, Engineering"
METAMORFOSA Journal of Biological Sciences,https://ojs.unud.ac.id/index.php/metamorfosa/index,3,"Science, Agriculture, Social"
Metal Indonesia,http://www.jurnalmetal.or.id/jmi,3,"Science, Engineering"
Jurnal Pendidikan Fisika FKIP UM Metro,https://ojs.fkip.ummetro.ac.id/index.php/fisika,3,"Science, Education"
Jurnal Fourier,http://fourier.or.id,3,"Economy, Science, Education"
Jurnal Inovtek Polbeng Seri Informatika,http://ejournal.polbeng.ac.id/index.php/ISI/issue,3,Science
Global Forest Journal,https://talenta.usu.ac.id/gfj,3,"Science, Agriculture"
Jurnal Pembelajaran dan Biologi Nukleus,http://jurnal.ulb.ac.id/index.php/nukleus,3,"Science, Education, Agriculture, Social"
Indonesian Journal of Curriculum and Educational Technology Studies,https://journal.unnes.ac.id/journals/jktp,3,"Science, Education"
Orbital: Jurnal Pendidikan Kimia,http://jurnal.radenfatah.ac.id/index.php/orbital/issue/archive,3,"Science, Education"
TEKNOLOGI: Jurnal Ilmiah Sistem Informasi,https://journal.unipdu.ac.id/index.php/teknologi,3,Science
IJIES (International Journal of Innovation in Enterprise System),http://ijies.sie.telkomuniversity.ac.id/index.php/IJIES,3,"Science, Engineering"
JURNAL BIOLOGI INDONESIA,https://jurnalbiologi.perbiol.or.id,3,Science
JURNAL PENELITIAN ILMU PENDIDIKAN,https://journal.uny.ac.id/index.php/jpip,3,"Science, Education"
JIPI (JURNAL ILMU PERPUSTAKAAN DAN INFORMASI),http://jurnal.uinsu.ac.id/index.php/jipi,3,Science
The Indonesian Journal of Islamic Economics Research,https://ejournal.uinsalatiga.ac.id/index.php/ijier,3,"Economy, Science, Social"
"FASKES : Jurnal Farmasi, Kesehatan, dan Sains",https://journal.unugiri.ac.id/index.php/faskes,3,"Health, Science"
Jurnal Sistem Informasi (Journal of Information System),http://jsi.cs.ui.ac.id/index.php/jsi,3,Science
Journal of Universal Community Empowerment Provision,https://psppjournals.org/index.php/jucep,3,"Science, Education, Social"
Jurnal Airaha,https://jurnalairaha.org/index.php/airaha,3,"Science, Agriculture, Engineering"
Khazanah: Jurnal Pengembangan Kearsipan,https://jurnal.ugm.ac.id/khazanah,3,"Humanities, Science, Education, Art, Social"
Jurnal Manajemen dan Keuangan,https://ejurnalunsam.id/index.php/jmk,3,"Economy, Science, Education"
Jurnal Penelitian Ekosistem Dipterokarpa,http://ejournal.forda-mof.org/ejournal-litbang/index.php/JPED,3,"Science, Education"
Jurnal Penelitan Ekonomi dan Bisnis,http://publikasi.dinus.ac.id/index.php/jpeb,3,"Economy, Science"
Majalah Ilmiah Biologi Biosfera: A Scientific Journal,https://journal.bio.unsoed.ac.id/index.php/biosfera/index,3,"Science, Agriculture, Social"
Jurnal Telematika,http://journal.ithb.ac.id/telematika,3,"Science, Engineering"
SemanTIK : Teknik Informasi,http://ojs.uho.ac.id/index.php/semantik,3,"Science, Engineering"
Jurnal Penelitian Pembelajaran Fisika,http://journal.upgris.ac.id/index.php/JP2F/index,3,Science
Buletin Pos dan Telekomunikasi,https://bpostel.kominfo.go.id/index.php/bpostel,3,"Science, Social, Engineering"
Pharmademica: Jurnal Kefarmasian dan Gizi,https://jurnal.poltekkespim.ac.id/index.php/pharmademica,3,"Health, Science"
Sisfo: Jurnal Ilmiah Sistem Informasi,https://ojs.unimal.ac.id/sisfo,3,"Science, Education, Engineering"
Biota,https://biota.ac.id/index.php/jb,3,"Health, Science, Education, Agriculture, Social"
Scripta Biologica,http://journal.bio.unsoed.ac.id/index.php/scribio,3,"Science, Agriculture"
Shahih: Journal of Islamicate Multidisciplinary,https://ejournal.uinsaid.ac.id/index.php/shahih/index,3,"Humanities, Science, Education, Art, Social, Religion"
Quantitative Economics and Management Studies,http://jurnal.ahmar.id/index.php/qems,3,"Economy, Science, Education"
Journal Business Administration (JBA): Entrepreneurship and Creative Indutry,https://talenta.usu.ac.id/jba,3,"Economy, Humanities, Science, Social"
Berkala Ilmiah Pendidikan Fisika,https://ppjp.ulm.ac.id/journal/index.php/bipf,3,"Science, Education"
Cakrawala Repositori Imwi,http://cakrawala.imwi.ac.id/index.php/cakrawala,3,"Economy, Humanities, Science, Social, Engineering"
Jurnal Penelitian Kehutanan Faloak,http://ejournal.forda-mof.org/ejournal-litbang/index.php/JPKF/index,3,"Economy, Science, Agriculture, Social"
Jurnal Segara,http://ejournal-balitbang.kkp.go.id/index.php/segara,3,"Science, Social"
JURNAL FISIKA,https://journal.unnes.ac.id/journals/jf,3,Science
VOLT : Jurnal Ilmiah Pendidikan Teknik Elektro,http://jurnal.untirta.ac.id/index.php/VOLT/index,3,"Science, Education, Engineering"
Jurnal Zarah,http://ojs.umrah.ac.id/index.php/zarah,3,"Science, Education"
Jurnal Inovasi Pendidikan Kimia (JIPK),https://journal.unnes.ac.id/journals/JIPK,3,"Science, Education, Engineering"
Jurnal Katalisator,https://publikasi.lldikti10.id/index.php/katalisator,3,"Science, Engineering"
Jurnal Ipteks Terapan : research of applied science and education,http://publikasi.lldikti10.id/index.php/jit,3,Science
Geoid - Journal of Geodesy and Geomatics,https://journal.its.ac.id/index.php/geoid,3,Science
JST (Jurnal Sains dan Teknologi),http://ejournal.undiksha.ac.id/index.php/JST,3,"Science, Education"
Nutrix Journal,http://ejournal.unklab.ac.id/index.php/nutrix,3,"Health, Science, Education"
"International Journal of Engineering, Technology and Natural Sciences (IJETS)",http://journal.uty.ac.id/index.php/IJETS,3,"Science, Engineering"
Jurnal Geografi : Media Informasi Pengembangan dan Profesi Kegeografian,https://journal.unnes.ac.id/journals/jg,3,Science
Media Farmasi : Jurnal Ilmu Farmasi (Journal Of Pharmaceutical Science),http://journal.uad.ac.id/index.php/Media-Farmasi/index,3,"Health, Science"
Jurnal Teknik Industri,https://e-journal.trisakti.ac.id/index.php/tekin,3,"Science, Engineering"
Jurnal Materi dan Pembelajaran Fisika,https://jurnal.uns.ac.id/jmpf,3,"Science, Education"
Jurnal Kelautan Nasional,http://ejournal-balitbang.kkp.go.id/index.php/jkn/issue/archive,3,"Science, Social"
Indonesian Journal Of Chemical Research,https://ojs3.unpatti.ac.id/index.php/ijcr,3,"Science, Agriculture, Social, Engineering"
Jurnal Ilmiah Inovasi,https://publikasi.polije.ac.id/index.php/jii,3,"Science, Education, Agriculture"
INFORMAL: INFORMATICS JOURNAL,http://jurnal.unej.ac.id/index.php/INFORMAL/index,3,Science
Jurnal Manajemen & Supervisi Pendidikan,http://journal2.um.ac.id/index.php/jmsp,3,"Science, Education"
The Accounting Journal of Binaniaga,http://tajb.unbin.ac.id/index.php/ajb,4,"Economy, Science, Social"
ADI Journal on Recent Innovation (AJRI),https://adi-journal.org/index.php/ajri,4,"Religion, Science, Education, Engineering"
Jurnal TEKNO KOMPAK,http://ejurnal.teknokrat.ac.id/index.php/teknokompak,4,Science
JURNAL SISTEM INFORMASI,https://ejournal.unsri.ac.id/index.php/jsi,4,"Science, Education"
Jurnal Komputasi,https://komputasi.fmipa.unila.ac.id/index.php/komputasi,4,"Science, Engineering"
